utc_iso,sun_az_deg_from_north,sun_el_deg
2026-05-16T04:40:00Z,82.9662,18.1169
2026-05-16T04:50:00Z,85.0969,19.3411
2026-05-16T05:00:00Z,87.2411,20.5696
2026-05-16T05:10:00Z,89.4011,21.8006
2026-05-16T05:20:00Z,91.5795,23.0324
2026-05-16T05:30:00Z,93.7787,24.2631
2026-05-16T05:40:00Z,96.0013,25.4908
2026-05-16T05:50:00Z,98.2501,26.7137
2026-05-16T06:00:00Z,100.5278,27.9297
2026-05-16T06:10:00Z,102.8374,29.1369
2026-05-16T06:20:00Z,105.1816,30.333
2026-05-16T06:30:00Z,107.5636,31.5159
2026-05-16T06:40:00Z,109.9862,32.6834
2026-05-16T06:50:00Z,112.4526,33.8329
2026-05-16T07:00:00Z,114.9656,34.9621
2026-05-16T07:10:00Z,117.5284,36.0683
2026-05-16T07:20:00Z,120.1438,37.1488
2026-05-16T07:30:00Z,122.8146,38.2008
2026-05-16T07:40:00Z,125.5433,39.2214
2026-05-16T07:50:00Z,128.3323,40.2076
2026-05-16T08:00:00Z,131.1836,41.1562
2026-05-16T08:10:00Z,134.099,42.0639
2026-05-16T08:20:00Z,137.0795,42.9276
2026-05-16T08:30:00Z,140.1257,43.7439
2026-05-16T08:40:00Z,143.2376,44.5094
2026-05-16T08:50:00Z,146.4142,45.2207
2026-05-16T09:00:00Z,149.654,45.8746
2026-05-16T09:10:00Z,152.9543,46.4678
2026-05-16T09:20:00Z,156.3116,46.9973
2026-05-16T09:30:00Z,159.7212,47.4601
2026-05-16T09:40:00Z,163.1776,47.8537
2026-05-16T09:50:00Z,166.6743,48.1758
2026-05-16T10:00:00Z,170.2039,48.4243
2026-05-16T10:10:00Z,173.7584,48.5978
2026-05-16T10:20:00Z,177.329,48.6952
2026-05-16T10:30:00Z,180.9066,48.7157
2026-05-16T10:40:00Z,184.482,48.6594
2026-05-16T10:50:00Z,188.0461,48.5265
2026-05-16T11:00:00Z,191.5899,48.318
2026-05-16T11:10:00Z,195.1049,48.0351
2026-05-16T11:20:00Z,198.5835,47.6796
2026-05-16T11:30:00Z,202.0185,47.2536
2026-05-16T11:40:00Z,205.404,46.7596
2026-05-16T11:50:00Z,208.7349,46.2004
2026-05-16T12:00:00Z,212.0071,45.579
2026-05-16T12:10:00Z,215.2173,44.8984
2026-05-16T12:20:00Z,218.3636,44.162
2026-05-16T12:30:00Z,221.4446,43.373
2026-05-16T12:40:00Z,224.4599,42.535
2026-05-16T12:50:00Z,227.4097,41.6512
2026-05-16T13:00:00Z,230.2948,40.7249
2026-05-16T13:10:00Z,233.1167,39.7594
2026-05-16T13:20:00Z,235.8773,38.7579
2026-05-16T13:30:00Z,238.5786,37.7235
2026-05-16T13:40:00Z,241.2232,36.6592
2026-05-16T13:50:00Z,243.8137,35.5678
2026-05-16T14:00:00Z,246.353,34.4521
2026-05-16T14:10:00Z,248.8441,33.3147
2026-05-16T14:20:00Z,251.2899,32.1583
2026-05-16T14:30:00Z,253.6934,30.9852
2026-05-16T14:40:00Z,256.0577,29.7977
2026-05-16T14:50:00Z,258.3857,28.5983
2026-05-16T15:00:00Z,260.6804,27.3889
2026-05-16T15:10:00Z,262.9447,26.1717
2026-05-16T15:20:00Z,265.1814,24.9487
2026-05-16T15:30:00Z,267.3933,23.7219
2026-05-16T15:40:00Z,269.583,22.4931
2026-05-16T15:50:00Z,271.753,21.2642
2026-05-16T16:00:00Z,273.9059,20.037
2026-05-16T16:10:00Z,276.0441,18.8132
2026-05-16T16:20:00Z,278.1698,17.5947
2026-05-16T16:30:00Z,280.2854,16.3831
2026-05-16T16:40:00Z,282.3929,15.1802
2026-05-16T16:50:00Z,284.4944,13.9876
2026-05-16T17:00:00Z,286.5918,12.8072
2026-05-16T17:10:00Z,288.6871,11.6407
2026-05-16T17:20:00Z,290.782,10.4898
2026-05-16T17:30:00Z,292.8782,9.3567
2026-05-16T17:40:00Z,294.9773,8.2431
2026-05-16T17:50:00Z,297.081,7.1515
2026-05-16T18:00:00Z,299.1905,6.0842
2026-05-16T18:10:00Z,301.3073,5.0435
2026-05-16T18:20:00Z,303.4325,4.0355
2026-05-16T18:30:00Z,305.5674,3.0635
2026-05-16T18:40:00Z,307.713,2.1333
2026-05-16T18:50:00Z,309.8703,1.2546
2026-05-16T19:00:00Z,312.0399,0.439
2026-05-17T01:50:00Z,46.8552,0.1106
2026-05-17T02:00:00Z,49.0293,0.8957
2026-05-17T02:10:00Z,51.1904,1.7493
2026-05-17T02:20:00Z,53.3395,2.6592
2026-05-17T02:30:00Z,55.4773,3.6149
2026-05-17T02:40:00Z,57.605,4.6087
2026-05-17T02:50:00Z,59.7235,5.637
2026-05-17T03:00:00Z,61.8342,6.694
2026-05-17T03:10:00Z,63.9382,7.7766
2026-05-17T03:20:00Z,66.037,8.8821
2026-05-17T03:30:00Z,68.1321,10.0083
2026-05-17T03:40:00Z,70.225,11.1531
2026-05-17T03:50:00Z,72.3175,12.3145
